adsbScope-WatchLog    2019/10/29
    Watch     Time      AA   Flight    Alt        Lat       Long  Speed  Head  Vario       Reg      Type
--     1  13:51:24  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:51:30  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:51:37  100000  ZUFWN     6250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:51:43  100000  ZUFWN     6250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:51:50  100000  ZUFWN     6250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:51:56  100000  ZUFWN     6250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:03  100000  ZUFWN     6250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:10  100000  ZUFWN     6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:16  100000  ZUFWN     6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:23  100000  ZUFWN     6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:29  100000  ZUFWN     6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:36  100000  ZUFWN     6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:42  100000  ZUFWN     6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:49  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:52:55  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:02  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:08  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:15  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:21  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:28  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:34  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:41  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:47  100000  ZUFWN     5750    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:53:54  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:01  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:07  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:14  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:20  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:27  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:33  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:40  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:46  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:54:53  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  13:54:59  100000
--     1  13:56:44  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:56:50  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:56:57  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:04  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:10  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:17  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:23  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:30  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:36  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:43  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:49  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:57:56  100000            7650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  13:58:02  100000
--     1  17:38:02  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:38:08  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:38:15  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:38:21  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:38:28  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:38:34  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:38:41  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:38:47  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:38:54  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:39:00  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  17:39:07  100000
--     1  17:46:37  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:46:44  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:46:50  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:46:57  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:03  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:10  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:16  100000  ZUFWN     6925    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:23  100000  ZUFWN     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:29  100000  ZUFWN     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:36  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:43  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:49  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:47:56  100000  ZUFWN     6925    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:02  100000  ZUFWN     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:09  100000  ZUFWN     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:15  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:22  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:28  100000  ZUFWN     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:35  100000  ZUFWN     6925    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:41  100000  ZUFWN     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:48  100000  ZUFWN     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:48:54  100000  ZUFWN     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:01  100000  ZUFWN     6925    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:07  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:14  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:20  100000  ZUFWN     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:27  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:33  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:40  100000  ZUFWN     6850    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:46  100000  ZUFWN     6850    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:49:53  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:50:00  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:50:06  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:50:13  100000  ZUFWN     6850    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:50:19  100000  ZUFWN     6850    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
